City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
423,Saint Simons,US,82.44,clear sky,31.1352,-81.3901,"Holiday Inn Express Saint Simons Island, an IHG Hotel"
424,Weymouth,US,71.19,few clouds,42.2209,-70.9398,Arbor Inn Motor Lodge
427,Mumford,GH,71.8,scattered clouds,5.2618,-0.759,Spanish Villa
429,Isla Mujeres,MX,84.16,scattered clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
430,Centralia,US,71.96,clear sky,46.7162,-122.9543,Peppermill Inn
431,Angoche,MZ,73.26,light rain,-16.2325,39.9086,Guest House HESADA
432,Bogande,BF,75.04,broken clouds,12.9714,-0.1436,Auberge Wendkouni
433,Bom Jesus Do Itabapoana,BR,65.55,few clouds,-21.1339,-41.6797,Hotel São Geraldo
434,Cachoeira,BR,69.13,broken clouds,-12.6183,-38.9558,Cachoeira Apart Hotel
436,Manaure,CO,81.48,overcast clouds,11.7751,-72.4445,Hotel Palaaima
439,Maues,BR,72.61,light rain,-3.3836,-57.7186,Hotel Miramar
440,Maraa,BR,72.16,broken clouds,-1.8333,-65.3667,
441,Road Town,VG,84.29,overcast clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
442,Itaituba,BR,72.01,scattered clouds,-4.2761,-55.9836,Hotel Campos
445,Moa,CU,79.79,scattered clouds,20.6569,-74.9403,Carmen
446,Ravar,IR,88.38,clear sky,31.2656,56.8055,computertik
447,Garmsar,IR,87.35,clear sky,35.2182,52.3409,مجتمع مرصاد
449,Morwa,IN,83.52,broken clouds,22.9,73.8333,mahakali maa hotel
450,Peniche,PT,67.28,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
452,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
455,Crotone,IT,76.19,clear sky,39.0851,17.1178,Helios Hotel
456,Alta Floresta,BR,71.51,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
457,Santa Lucia,ES,68.94,clear sky,27.9117,-15.5407,Las Tirajanas
461,Camapua,BR,70.81,clear sky,-19.5314,-54.0439,Comercial Estrela
463,Thomaston,US,75.06,light rain,32.8882,-84.3266,Days Inn by Wyndham Thomaston
464,Kutum,SD,69.21,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
465,Nageshwari,BD,85.41,overcast clouds,25.9377,89.7148,আরাজী কুমরপুর জামে মসজিদ
469,Bom Jesus,BR,69.67,clear sky,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
470,Kindu,CD,66.38,overcast clouds,-2.95,25.95,Résidence Okanda
474,Vieux-Habitants,GP,80.71,few clouds,16.0589,-61.7659,Clos du Manguier
475,Mizdah,LY,70.29,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
476,Boquira,BR,67.89,clear sky,-12.8231,-42.7306,Cristal Palace Hotel
478,Kharan,PK,89.55,clear sky,28.5833,65.4167,Dil Aram Bangla
479,Manono,CD,70.02,clear sky,-7.3,27.4167,Hotel hewa bora
480,Cabedelo,BR,75.87,broken clouds,-6.9811,-34.8339,Pousada Camboinha
483,Agadir,MA,68.45,scattered clouds,30.4202,-9.5982,Iberostar Founty Beach
484,Fidenza,IT,66.34,broken clouds,44.864,10.0667,Fidenza Hotel
485,Gonaives,HT,78.06,clear sky,19.45,-72.6833,Vertières Doux Séjour
486,Bossangoa,CF,69.03,overcast clouds,6.4926,17.4552,LA PERLE DE BOSTON
488,Kavaratti,IN,76.62,moderate rain,10.5669,72.642,Green leaf
489,Muri,IN,87.15,overcast clouds,23.3667,85.8667,Sanyasi Lodge
490,Maine-Soroa,NE,77.49,light rain,13.2114,12.0241,Complexe
494,Goderich,CA,70.92,scattered clouds,43.7501,-81.7165,Harmony Inn
495,Bonthe,SL,75.67,light rain,7.5264,-12.505,Bonthe Holiday Village
497,Saint-Georges,GD,80.28,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
